# Source: https://github.com/BlueSkyLT/siteselect_sg/blob/main/dataset/hdb.csv (trimmed to 5 columns)
blk_no,street,lat,lng,postal
108,ALJUNIED CRES,1.31901276113362,103.885168792784,380108
108,ANG MO KIO AVE 4,1.37094273993861,103.837974822369,560108
108,BEDOK RESERVOIR RD,1.33023192210361,103.909386968106,470108
108,BEDOK NTH RD,1.3327400821369,103.936223521869,460108
108,BISHAN ST 12,1.34671498920224,103.847398357544,570108
108,BT PURMEI RD,1.27337413706546,103.825328120716,090108
108,BT BATOK WEST AVE 6,1.34744385185714,103.746502067957,650108
108,C'WEALTH CRES,1.30754731967127,103.799088583204,140108
108,CANBERRA WALK,1.44776611412274,103.83222301056,750108
108,CLEMENTI ST 11,1.32212392900686,103.770265903384,120108
108,DEPOT RD,1.28096680702384,103.810298189643,100108
108,GANGSA RD,1.37759685167022,103.767227214144,670108
108,HOUGANG AVE 1,1.35277219646669,103.890098621423,530108
108,JLN BT MERAH,1.27922008833835,103.825441382185,160108
108,JLN RAJAH,1.32838935725024,103.855750872335,320108
108,JURONG EAST ST 13,1.33828124030497,103.73701474739,600108
108,LENGKONG TIGA,1.32456370966495,103.91013096847,410108
108,LOR 1 TOA PAYOH,1.34155252910062,103.847295147125,310108
108,MCNAIR RD,1.3216190383169,103.859382719506,321108
108,PASIR RIS ST 12,1.36747877864087,103.95701769761,510108
108,POTONG PASIR AVE 1,1.33472004322162,103.867928446438,350108
108,PUNGGOL FIELD,1.39649861628108,103.908866307025,820108
108,RIVERVALE WALK,1.38281168591309,103.899782887436,540108
108,SERANGOON NTH AVE 1,1.36990058539467,103.871279457595,550108
108,SIMEI ST 1,1.34301954085884,103.951007442775,520108
108,SPOTTISWOODE PK RD,1.27394227707874,103.835659286991,080108
108,TAMPINES ST 11,1.34786646438205,103.94856161626,521108
108,TECK WHYE LANE,1.378324137359,103.752950750544,680108
108,WOODLANDS ST 13,1.43721908735525,103.781576753293,730108
108,YISHUN RING RD,1.43232355080911,103.829071971177,760108
108A,BIDADARI PK DR,1.33435487321818,103.871686802252,341108
108A,CANBERRA WALK,1.44776056626366,103.831274677849,751108
108A,CLEMENTI ST 11,1.32225838486098,103.77014655331,121108
108A,DEPOT RD,1.28086493860927,103.810142595769,101108
108A,MCNAIR RD,1.32055419729917,103.859407706602,322108
108A,PASIR RIS ST 12,1.36797295672919,103.957016865091,511108
108B,BIDADARI PK DR,1.33367208421363,103.872010744965,342108
108B,CANBERRA WALK,1.44818951673352,103.831856910403,752108
108B,MCNAIR RD,1.31998124429925,103.859005144914,323108
108C,CANBERRA WALK,1.44735330149199,103.831796158318,753108
108C,MCNAIR RD,1.31984417513752,103.859462494536,324108
108D,CANBERRA WALK,1.44777193705961,103.831907132201,754108
109,ALJUNIED CRES,1.31939291785822,103.884439876207,380109
109,ANG MO KIO AVE 4,1.37009653758337,103.837687775294,560109
109,BEDOK NTH RD,1.33205316021213,103.93493510232,460109
109,BEDOK RESERVOIR RD,1.32963136613535,103.909902161479,470109
109,BIDADARI PK DR,1.3342336945664,103.872574623948,340109
